Redação,QtdeCaracteres,Intervencao,QtdeSentencasIntervencao,PorcentagemCaracteresIntervencao
"A transformação de bairros degradados em áreas revitalizadas é um fenômeno cada vez mais presente nas cidades contemporâneas. Por um lado, a gentrificação traz melhorias na infraestrutura, segurança, acessibilidade e oferta de serviços, contribuindo para o desenvolvimento urbano. Por outro, essa mesma transformação costuma gerar sérias consequências sociais, especialmente para os moradores de baixa renda, que se veem expulsos de seus bairros por causa do aumento dos custos de moradia e do deslocamento social. Assim, o debate sobre a gentrificação revela uma complexa relação entre progresso e exclusão social, demandando reflexões e ações que conciliem o desenvolvimento urbano com a inclusão social. Primeiramente, é importante reconhecer os aspectos positivos da gentrificação. Quando um bairro antigo passa por revitalização, há uma valorização dos imóveis, melhoria na infraestrutura, maior segurança pública e incremento na oferta de comércio, lazer e cultura. Esses avanços podem impulsionar a economia local, criar empregos e elevar a qualidade de vida dos moradores. a renovação de áreas degradadas pode até ampliar as rendas de alguns habitantes, além de atrair investimentos privados que possam beneficiar a cidade como um todo. Dessa forma, a gentrificação, de certa forma, promove o desenvolvimento urbano sustentável e a preservação do patrimônio histórico. Contudo, é preciso considerar os efeitos nocivos que esse processo pode gerar. a valorização imobiliária muitas vezes resulta na expulsão dos moradores antigos, que não conseguem arcar com os custos elevados de moradia e serviços. Essa situação provoca segregação social e aprofundamento das desigualdades, pois os grupos de baixa renda perdem seu espaço na cidade, tornando-se cada vez mais marginalizados. Além disso, a substituição de áreas verdes por construções densas e a descaracterização cultural dos bairros representam impactos ambientais e sociais negativos. Diante desse cenário, é fundamental que as políticas públicas atuem de maneira a equilibrar esses interesses. Uma proposta de solução consiste na implementação de mecanismos de proteção aos moradores tradicionais, como a criação de áreas de habitação social, limites para a valorização imobiliária e o fortalecimento do direito à moradia. Além disso, é indispensável envolver a comunidade no planejamento urbano, garantindo que as melhorias sejam inclusivas e respeitem as identidades culturais locais. Incentivar a participação popular nas decisões sobre os projetos de revitalização e promover programas de financiamento acessível podem ajudar a evitar a expulsão dos moradores de baixa renda. Em suma, a gentrificação apresenta benefícios e malefícios que precisam ser cuidadosamente equilibrados. Para que a revitalização urbana seja realmente sustentável e justa, é imprescindível que haja uma ação conjunta entre o poder público, a iniciativa privada e a sociedade civil, de modo a promover o desenvolvimento econômico sem comprometer os direitos sociais dos moradores. Somente assim será possível transformar as cidades em espaços mais inclusivos, preservando suas identidades e garantindo qualidade de vida a todos os seus habitantes.",,,,
"Feminicídio, um crime que ocorre há décadas está ganhando relevância atualmente, ele ser derivado da cultura enraizada do  machismo onde o homem é superior à mulher. No Brasil onde  há mais casos registrados de  mulheres sofrem essa triste realidade causada por seus  companheiros. Infelizmente isso é mais comum do que isso pode imaginar, de  acordo com os dados de  2024 mais de 1450 casos de vítimas do feminicídio foram registrados no Brasil. Muitas vítimas não denunciam seus agressores  pela dependência emocional ou financeira, falta de ajuda as mulheres que sofrem  desse tipo de abuso pode acabar ocasionando  falecimento de quem sofre a violência. O  livro assim"" Assim que acaba"" da autora Collen Hoover, conta a história de Lily Bloom, uma jovem que busca superar um passado traumático marcado pela violência doméstica, após se mudar para Boston, ela encontra Ryle, um neurocirurgião com quem se envolve em um relacionamento tóxico. A história explora temas como abuso, dependência emocional e a busca pela resiliência, mostrando como Lily luta para se libertar do ciclo de violência e encontrar a felicidade. É importante que todas as vítimas possam ter uma rede de apoio a qual recorrer também, é importante executar a insuficiência do legislativo conforme o artigo 7  da lei Maria da penha: agressão física psicológica sexual são formas de violência contra a mulher. Mas a hesitação das autoridades mesmo após denúncias, coloca as vítimas em risco, resultando no sofrimento maior da vítima é até morte. Nesse sentido, é extremamente importante que o Governo juntamente com o Poder Legislativo crie ONGs e programas de proteção e acolhimento à mulher,  programas onde elas possam encontrar acompanhamentos diversos. Por fim, programas e meios de organização que ajudem a combater o machismo e a sua denúncia, promovendo uma comunidade com igualdade e segurança a todos.",,,,
"Senhor Carlos mora na fazenda paraíso, a vinte e sete anos com seu irmão valdeci, nessa fazenda ele planta frutas, legumes, verduras e etc, como banana, alface, acerola, mamão, pepino, entre outros. Ele também tem vacas, e cabras que produzem leite, galinhas que produzem ovos, e porcos para seu próprio consumo. Todas as quartas ele pega sua caminhonete e nela coloca tudo o que sua fazendo produziu, e vai para a cidade mais proxima chamada bandeirantes, que fica a 20 kilómetros de sua fazenda. Lá ele vai a feira, e monta a sua barraca perto a de sua amigo claudia que vende mel, doces de leite e queijos. Carlos e claudia são amigos a mais de vinte anos, Carlos gosta dela secretamente mas claudia tem marido cujo o nome é charles que esta ao lado dela ajudando com as vendas, então ele deixa sua emoções de lado e foca em verder. No fim do dia, carlos vendeu todo seu estoque de frutas e verduras. Legumes e leites  sobraram alguns, que ele coloca em sua caminhonete e leva para o consumo dele e de seu irmão que ficou na fazenda para tratar dos animais. E é assim que acontece a conexão do campo à cidade.",,,,
"No qual se refere ao envelhecimento populacional e os fatos por trás disso, percebesse que os estudos não agregam a realidade de grande maioria dos idosos de classes sociais baixas, e os programas do governo não dão oportunidades de tratamentos e cuidados para saúde e assistência para idosos que não tem condições. Pode ser perceber que a grande maioria das pessoas mais experientes que dependem de sus, UBS, entre outros... vivem em estado de calamidade e sem assistência, Alguns como: Trabalhos pesados para se sustentar, falta de remédios para controlar doenças (como diabete, hipertensão, entre outros…), falta de atendimento para saúde, exames, etc. Alguns chegam a falecer a espera de um atendimento básico. O governo deveria abrir oportunidades de qualidade, apoio medico e psicológicos, para que o processo de envelhecimento seja tranquilo, com qualidade e saudável.",,,,
"Uma mulher grávida em um ambiente onde a segurança e o acolhimento não são predominantes, assim o nascimento de uma criança invisível perante a sociedade.Na atual conjuntura é um problema agravante, visto que essas crianças precisam de uma atenção maior, porém ainda nos primeiros meses de vida não vivem no ambiente adequado, logo separados de suas mães. É de suma importância a modificação desse cenário.A série ""Vis a Vis"" aborda a situação de mulheres na prisão e a rotina dias, bem como o relato de uma personagem que passa pela gravidez em condições precárias. A realidade no Brasil não é distante, e após o nascimento do bebê, ele passa por uma série de riscos físicos e psicológicos.Uma parcela das crianças geradas em presídios, destinados a parentes e a outra parte passa pelo sistema burocrático de abrigos no país. A falta de cuidado gera a invisibilidade desses indivíduos, entretanto um lugar digno na sociedade , garantida de acordo com Os Direitos Humanos, porém há uma aversão e como consequência uma carência das necessidades básicas, como saúde, estudo e o desenvolvimento das pessoas que serão futuro da nação.Sendo assim, é necessário uma intervenção por parte da sociedade, com palestras e campanhas para tornar essa pauta valorizada e relevante, além do Estado para modificar o atual cenário e cumprir com o seu papel de atender as necessidades básicas do povo brasileiro.",,,,
"Uma mulher grávida em um ambiente onde a segurança e o acolhimento não são predominantes, assim o nascimento de uma criança invisível perante a sociedade.Na atual conjuntura é um problema agravante, visto que essas crianças precisam de uma atenção maior, porém ainda nos primeiros meses de vida não vivem no ambiente adequado, logo separados de suas mães. É de suma importância a modificação desse cenário.A série ""Vis a Vis"" aborda a situação de mulheres na prisão e a rotina dias, bem como o relato de uma personagem que passa pela gravidez em condições precárias. A realidade no Brasil não é distante, e após o nascimento do bebê, ele passa por uma série de riscos físicos e psicológicos.Uma parcela das crianças geradas em presídios, destinados a parentes e a outra parte passa pelo sistema burocrático de abrigos no país. A falta de cuidado gera a invisibilidade desses indivíduos, entretanto um lugar digno na sociedade é garantia de acordo com Os Direitos Humanos, porém há uma aversão e como consequência uma carência das necessidades básicas, como saúde, estudo e o desenvolvimento das pessoas que serão futuro da nação.Sendo assim, é necessário uma intervenção por parte da sociedade, com palestras e campanhas para tornar essa pauta valorizada e relevante, além do Estado para modificar o atual cenário e cumprir com o seu papel de atender as necessidades básicas do povo brasileiro.",,,,
"Uma mulher grávida em um ambiente onde a segurança e o acolhimento não são predominantes, assim o nascimento de uma criança invisível perante a sociedade. Na atual conjuntura é um problema agravante, visto que essas crianças precisam de uma atenção maior, porém ainda nos primeiros meses de vida não vivem no ambiente adequado, logo separados de suas mães. É de suma importância a modificação desse cenário. A série ""Vis a Vis"" aborda a situação de mulheres na prisão e a rotina dias, bem como o relato de uma personagem que passa pela gravidez em condições precárias. A realidade no Brasil não é distante, e após o nascimento do bebê, ele pode passar por uma série de riscos físicos e psicológicos. Uma parcela das crianças geradas em presídios direcionam-se a parentes e a outra parte passa pelo sistema burocrático de abrigos no país. A falta de cuidado gera a invisibilidade desses indivíduos, entretanto um lugar digno na sociedade é garantido de acordo com Os Direitos Humanos, porém há uma aversão e como consequência uma carência das necessidades básicas, como saúde, estudo e o desenvolvimento das pessoas que serão futuro da nação. Sendo assim, é necessário uma intervenção por parte da sociedade, com palestras e campanhas para tornar essa pauta valorizada e relevante, além do Estado para modificar o atual cenário e cumprir com o seu papel de atender as necessidades básicas do povo brasileiro.",,,,
"No contexto atual, cada vez mais se tornando perceptível a lacuna educacional presente. Professores se sentem oprimidos, menosprezados , com xingamentos, calúnia e difamação, dentro de sala e fora também. A perseguição sofrida, no entanto, não há como questionar o desrespeito causado. Outrossim é a indubitável ausência de professores nos dias letivos no Brasil, gerando problemas emocionais e gatilho no indivíduo ao entrar em trabalho como educador, podendo-se descontar agressões sofridas pelos mesmos. De acordo com a matéria do site G1, cada 10 professores, 8 sofrem agressões físicas e verbais ou já sofreram por aluno. Ademais, se torna válida a frase, ""a tecnologia move mundos"", Steve Jobs. A inteligência artificial, IA, cada vez mais poderosa e eficaz, acaba substituindo pessoas e até uma sala de aula. Inegável que a tecnologia está dominando o mundo. De maneira análoga, crianças e adultos se submetem à IA como forma de aprendizado, trabalho, meio de comunicação, entre várias outras. Depreende-se, portanto, o descaso nas escolas públicas que estão afetadas de uma forma mais direta. Cabe ressaltar o governo zelar pelo seu povo com medidas a fim de conscientizar de tal descaso, com palestras através de suas mídias, Facebook, Instagram e canais de comunicação, assim como foi feito o programa Pé de Meia para alunos que inicia no curso de Licenciatura, sendo creditado uma certa quantia de dinheiro para motivar e incentivar a concluir tal curso.",,,,
"O sedentarismo é um fator de risco que favorece o desenvolvimento de inúmeras doenças, tais quais obesidade, diabetes, problemas cardiovasculares, fragilidade óssea e distúrbios mentais. Tendo em vista que não é apenas um fator que robora ao contexto, sendo assim desfavorece a sociedade atual, partindo a ser uma pauta global a descurtir-se. O indivíduo considerado sedentário é aquele a qual pratica menos de 150 minutos semanais de exercício físico leve moderado semanalmente, pressupondo que o grupo inativo é formado 80% pela faixa etária de 14 a 20 anos, esclarecendo que o problema tem potencial a destinar a pandemia do sedentarismo. A dopamina, também conhecida como hormônio do prazer, é de fácil acesso com a tecnologia com vídeos curtos prendendo a atenção, assim aumentando a procrastinação outro degrau em direção a ser sedentário. O filme A Baleia, interpretado pelo ator norte-americano Brandon Fraser, retrata a vida de Charlie após anos e anos de autodestruição por consequência do falecimento de sua esposa. A obra deixa despistos os males e a decorrência da inatividade, mostrados como obesidade, depressão, problemas cardíacos que o mesmo desenvolveu. A frustração fortificou os impulsos maléficos, algo que facilmente pode se sair do fictício. A saúde é um direito universal, diante disso, a falta é a negligência governamental, por não cumprir o que está redigido nos direitos humanos, assim sendo necessário uma resolução. A agenda 2030 é um plano de métodos e objetivos, portanto deve-se incluir a pauta do sedentarismo a fim de garantir a possível correção no plano escrito a fim de garantir  que certifique-se que está garantido a saúde o mínimo dos direitos humanos.",,,,
"No Brasil, o acesso a tratamentos psicológicos vem sendo cada vez mais elitizado, assim negligenciando as populações mais desfavorecidas do país. Esse cenário é escancara a desigualdade estrutural no sistema publico de saúde. Sendo assim, papel governamental ampliar e acolher os cidadãos que necessitam desse apoio. Além disso, a população muitas vezes associa problemas psicológicos a sinais de fraqueza ou exagero. No filme ""As vantagens de ser invisível"" é retratado essa omissão acerca da saúde mental do protagonista Charlie, Mostrando a importância de uma rede de apoio estável e saudável. O título do filme também pode ser entendido como uma metáfora à maneira em que constantemente esse problema é deixado de lado e invisibilizado pelos familiares do sujeito.     De acordo com o OMS (Organização Mundial da Saúde), uma pessoa se mata a cada 40 segundos, escancarando mais uma vez a urgente necessidade de novas medidas estatais e coletivas visando o bem-estar destes indivíduos, como previsto no Art. 6 da constituição Federal.       Portanto, é dever governamental expandir os acessos a centros de atendimento psicológicos para os povos menos favorecidos, e garantir apoio a esses indivíduos criando campanhas de conscientização visando combater essa desvalorização em relação ao cuidado com a saúde mental da população.",,,,
"O desafio de combater o tráfico de animaisOs animais são muito importantes para a natureza e para as pessoas. Muitas vezes os animais são tirados do lugar deles para serem vendidos. Isso é ruim. O tráfico de animais é um problema que precisa ser resolvido. Isso acontece muito. O Brasil é um país que tem muitos animais. O governo deveria fazer alguma coisa para parar isso. A gente precisa proteger os animais porque eles são fofos. As pessoas que fazem isso são más.Portanto, é preciso parar de fazer isso. Os animais têm sentimentos também. Precisamos cuidar melhor da natureza. Se cada um fizer a sua parte, tudo vai dar certo.",,,,
"Por fim, com as consequências apresentadas, a causa dessa crise é o Governo, e sua função para evitar essas ondas de imigrações, é dando uma boa condição de vida para os habitantes. Fazendo ações comunitárias para os mais vulneráveis, policiamento de qualidade garantindo maior segurança nas cidades diminuindo o risco de conflitos e melhorando a infraestrutura de certos locais, resolvendo problemas como a falta de saneamento básico, ruas com risco de alagamentos, e casas com perigo de deslizamento. Se uma pessoa vive bem, não vai querer se revoltar e nem fugir do seu país",,,,
"De acordo com o filósofo Michel Foucault, a vigilância constante é uma ferramenta essencial para manter a ordem nas sociedades. Nesse contexto, esse é um fato decorrente dentro do cenário cibernético, uma vez que há forte presença dos desafios do combate à dengue no Brasil. Assim, evidencia-se na sociedade brasileira a dificuldade de combater o Aedes aegypti, haja vista a falta de conscientização da população, bem como a negligência do poder público.Sob esse viés, destaca-se que a desinformação da população é uma peça-chave para a problemática. Destarte, o filme Contágio (2011) ilustra como a desinformação pode potencializar a propagação de doenças, ou seja, mostrando que o comportamento coletivo tem impacto direto na saúde pública. Logo, se essa adversidade se mantiver corrente, o avanço da dengue permanecerá no Brasil.Outrossim, cabe avaliar ainda a ineficiência das autoridades públicas na questão. Ademais, a Lei n. 13.301/2016, que estabelece medidas para controle de epidemias causadas pelo mosquito, não é aplicada de forma eficaz em muitos municípios. Assim, se não houver a invalidação da falta de atuação eficaz do estado, os resultados continuarão sendo severos.Portanto, é preciso desconstruir os obstáculos que dificultam o combate à dengue no Brasil. Para tanto, o Ministério da Saúde deve bater teclas sobre campanhas educativas contínuas, promover melhorias no saneamento básico e garantir o cumprimento das leis existentes. Com essa medida, o Brasil observará redução da incidência da doença, contribuindo para uma sociedade mais segura e livre da doença do Aedes Aegypti.",,,,
"Uma mulher grávida em um ambiente onde a segurança e o acolhimento não são predominantes, assim o nascimento de uma criança invisível perante a sociedade. Na atual conjuntura é um problema agravante, visto que essas crianças precisam de uma atenção maior, porém ainda nos primeiros meses de vida não vivem no ambiente adequado e logo são separados de suas mães. É de suma importância a modificação desse cenário.   A série ""Vis a Vis"" aborda a situaçãs de mulhers na prisão e a rotina dias, bem como o relato de uma personagem que passa pela gravidez em condições precárias. A realidade no Brasil não é distante, e após o nascimento o bebê está sujeito a uma série de riscos físicos e psicológicos.   Uma parcela das crianças geradas em presídios são direcionadas a parentes e a outra parte passam pelo sistema burocrático de abrigos no país. A falta de cuidado gera a invisibilidade desses indivíduos, entretanto um lugar digno na sociedade deveria ser garantido de acordo com Os Direitos Humanos, porém há uma aversão e como consequência uma carência das necessidades básicas, como saúde, estudo e o desenvolvimento das pessoas que são o futuro dessa nação.   Sendo assim, é necessário uma intervenção por parte da sociedade, com palestras e campanhas para tornar essa pauta valorizada e relevante, além d Estado para modificar o atual cenário e cumprir com o seu papel de atender as necessidades básicas do povo brasileiro.",,,,
"A persistência da violência a Mulher começa quando o Relacionamento não está Muito Saudável tento muitas Discussões e ameaças Homem No dever de acalma a briga ele Acha q pode bater na sua Esposa aí com essa ação a Mulher tem que procura uma delegacia e fazer uma denuncia De violência domiciliar pelo Marido mas eles ficam botado Palavras falando q ama falando Que foi sem querer não vai Fazer mas isso nesse ponto as Coisas vai piorando a violência Vai almentado fica presa em Casa e fica com muitos Emantomas no corpo, chorado Como medo depressão e coisas Do tipo, vamos dizer não a Violência,doméstica,verbal, Corporal denuncia quê você Fazendo isso pode salva vidas.",,,,
"PADROES NEGATIVOS DE BELEZA ,HOJE O BRASIL E O MUNDO SOFRE COM UMA GRANDE AVALIACAO DE PADROES DE BELEZA POR PESSOAS , OU SEJA MAGRA DE MAS OU ACIMA DO PESO , NAO PODEMOS SER NEGROS OU DE PELE MAS BRANCA QUE A COLORACAO NORMAL , EM FIM  PRATICAMENTE NINGUEM E FELIZ COMO REALMENTE SOMOS SEMORE ESTAMOS QUERENDO AGRADAR OS PROXIMO,QUANTO MAS OS TEMPOS VAO PASSANDO AS PESSOAS VAO PERDENDO A NOCAO SOBRE OS ACONTECIMENTOS ALGUNS ATE PREJUDICACO A SAUDE COM A GRANDE INTENCAO DE SE ENCAIXAR NO PADRAO DE BELEZA DAS PESSOAS  .. AUTORA MARIA SILVA",,,,
"Durante a época da escravidão, a cultura dos africanos escravizados era propositalmente suprimida para evitar revoltas, essa é uma herança que carregamos até os dias de hoje. Neste contexto o Brasil enfrenta uma grave desvalorização da cultura africana, tendo um apagamento proposital motivado por uma burguesia que não quer mexer com o status quo, para não afetar seu lucro, que coincide na demonização de religiões de matriz africana que descende desses povos.O apagamento cultural é um projeto para evitar uma revolta de pessoas negras motivadas por sua herança. A partir desse ponto de vista temos a obra ""Um guia politicamente incorreto sobre a história do brasil"" que conta mentiras sobre Zumbi dos palmares, para enfraquecer e manchar a imagem de um ídolo para deslegitimar a luta, essa que afeta o lucro da burguesia que vem da exploração do necessitados, tornando essencial para ela que a cultura africana seja desvalorizada para os manter em um lugar subalterno.Além disso a dificuldade da valorização da cultura africana traz o desconhecimento dela, que leva as pessoas a demonizarem ela, inclusive as religiões de matriz africana, que sofrem ataques constantes que vai diretamente contra a constituição de 1988, sendo intolerância religiosa e crime de racismo, tanto que esse medo quanto esses ataques dificultam a valorização da cultura africana, criando um ciclo vicioso.Portanto é possivel ver como há um apagamento proposital da cultura africana leva a sua desvalorizção que causa sua demonização e de tudo baseado nela, o que torna essencial o combate vindo pela educação com uma mudança na grade curricular das escoas vindo do Ministério da Educação adicionando conteúdo, nas materias de ciências humanas e linguagens, sobre a cultura africana, assim corrigindo o erro dos nossos antepassados da época da escravidão",,,,
"Na chegada das redes sociais, vem ocorrendo vários pensamentos em muitos brasileiros, e uma deles é a aparência, ""qual o tipo ideal dos brasileiros?"" fazer-se esta pergunta, procurando se tipos ideais inalcançáveis, e com isso, combatendo críticas sociais contra nós mesmos. Brasil é um país tropical, claramente, optamos por roupas curtas, e quando não utilizadas, é motivo de ""piada"" entre muitos habitantes, interferindo se não autoestima alheia, o quê obviamente, nunca será o certo. Em redes sociais muito menos, chegou em uma fase complicada de aguentar, ""o quê irão pensar?"" Digamos que 80% da sociedade que têm autoestima baixa, é mulheres, e em vez de se posicionar, por conta de modernidades, vivem em uma tela e se comparando, não se preparando fisicamente e mentalmente, chegando ao suicídio, depressão, ansiedade e desgosto com si mesma.",,,,
"A percepção cultural do envelhecimento no Brasil vem se tornando mais preocupante à medida que o tempo passa. Além de críticas e pressões externas, o mundo em que vivemos nos permite retardar tal processo natural, dessa forma, produtos e procedimentos ‘anti-idade’ se tornam comuns. Isto é devido à imagem do idoso cultivada pela sociedade: pessoas velhas, debilitadas, descuidadas. Esse estereótipo deve acabar, pois leva algumas pessoas à extorsão de dinheiro, abuso, maus-tratos e abandono dos mais velhos. A sociedade como um todo não é capaz de perceber a sabedoria e experiência desse grupo e, muitas vezes, negligencia esses que têm tanto a transmitir e ensinar. Com isso, ser idoso no Brasil e aceitar as mudanças que a idade traz é mais difícil do que imaginamos. Ter que lidar com preconceitos por uma condição que não se escolhe é extremamente injusto e não deve ser aceito!",,,,
"A cultura africana é parte essencial da formação da identidade brasileira, mas ainda é negligenciada no ambiente escolar. Valorizar esse conhecimento nas escolas é fundamental para promover o reconhecimento das origens afro-brasileiras, combater o racismo estrutural e fortalecer a autoestima de milhões de brasileiros descendentes de africanos.Grande parte dos costumes, tradições e elementos culturais presentes no Brasil foi trazida da África durante o período colonial, especialmente por meio da diáspora africana. Segundo o IBGE (2022), 55,5% da população brasileira se autodeclara negra ou parda. Essa estatística reforça a relevância de incorporar a história e a cultura africana ao currículo escolar, pois esse conhecimento contribui diretamente para o entendimento da identidade nacional.No entanto, a falta de acesso a essas informações tem como consequência a manutenção do preconceito racial. De acordo com um estudo da EBC, realizado em 2024, 70% dos negros já sofreram algum tipo de discriminação no Brasil. Esses dados revelam que o desconhecimento das contribuições africanas perpetua estigmas e afeta diretamente a valorização pessoal e coletiva da população negra, além de alimentar uma imagem distorcida e marginalizada da cultura africana.Diante disso, é papel das instituições educacionais desenvolver atividades que promovam o estudo da história da África e sua influência no Brasil. Isso pode ser feito por meio de projetos interdisciplinares, inclusão de autores negros no conteúdo literário e debates que envolvam questões étnico-raciais. Ao reconhecer o valor dessas contribuições, a escola contribui para a formação de cidadãos mais conscientes, críticos e livres de preconceitos.Portanto, estudar a cultura africana é também estudar a formação do povo brasileiro. Ao incluir essa temática no ambiente escolar de forma efetiva, é possível desconstruir visões estereotipadas e construir uma sociedade mais justa, plural e igualitária.",,,,
"O Conto "" Olhos de água"" de Evaristo  retrata a história de Ana e Davenga e a desigualdade social que os acercam  desenvolvendo criminalidade devido a extrema pobreza, causando uma insegurança e  marginalização enraizando a criminalidade nas periferias, mostrando a  extrema violência no envoltório da ação policial , abordada na narrativa causando a morte dos entãos "" protagonistas"" .    Essa  história se assemelha a vida real e levanta uma pauta a desigualdade social e a extrema pobreza não conjuga um dos motivos para o almentar insegurança e criminalidade nas periferias ? Sabemos que devido a falta de estrutura em países com baixo desenvolvimento a criminalidade se acelera , e quando não a investimentos na escolaridade marginalização se acelera, segundo dados do IBGE ( instituto Brasileiro da geografia e estatísticas) aponta que países subdesenvolvidos e com  poucas estruturas para uma educação de qualidade almenta a marginalização e a insegurança, visando que no mundo temos um desafio enorme para combater essas insegurança principalmente no brasil sem um investimento e escolar e verbas progredira a delinquência, crianças e adolescentes com oportunidades de estudos e bem alimentados  diminui a violência e a delinquência.  Mas como fazer isso?, Abordando um  alto desenvolvimento escolar como: ,programas sociais e educacionais causaria uma menor taxa delinquência. Entretanto temos vários desafios como:  a extrema pobreza do país,  a milícia e as facções desenvolvidas.    Sabemos que a maiorias da pessoas que moram em favela são negras,  tendo um caminho de oportunidade maior para essas pessoas poderem atingir cargos altos diminuirá a delinquência a música "" moleque de vila "" e Projota mesma diz "" escutatbm  neguin pegue esse caderno e escreve uma folha até o fim"" contando a história de sua carreira nesse retrata a fé e o esforço dele para conseguir virar um cantor de sucesso, mostrando que ele se assemelhava a cantores negros, a música também aborda que a maiorias das pessoas que vivem em favelas são negras e a criminalidade e maior por causa dificuldade e da pobreza enfrentada , mas tendo negras com em cargos importantes com bolsas estudos e projetos ajudam esses jovens  com certeza abriria oportunidades maiores para o trabalho e também diminuiria o crime , vendo que a maiorias das facções são pessoas de favelas que e pobres e busca uma melhora de vida no mundo do crime ajudando a própria favela com dinheiro do crime e infraestrutura . Concluindo se o governo empenhar na educação e na oportunidade de pessoas negras para os estudos e mercado de trabalho a violência e a insegurança nas periferias diminuiura",,,,
"A minissérie O massacre da candelária nos traz a visão de crianças em situação de rua, onde são tratadas de maneira hostil pela sociedade em sua volta os levando a um fim trágico e brutal,potencializando a discussão sobre, a marginalização de cidadãos em casos vulneráveis. Esses indivíduos são vistos como,perigosos,viciados e sujos entranto pessoas diante dessa ocasião ficam presas nela, pois quando vão ao encontro de uma forma de saída são rejeitados, além disso atualmente para cadastro de um empregado necessitasse de uma moradia fixa,sendo um desafio para a saída dessa vida na rua, pois são vistas como sem valor na sociedade. Portanto com essas informações concluímos que, a forma que esses indivíduos encontram para satisfazer a fome e ter um mínimo de conforto é através de furtos de supermercados e dinheiro, sendo assim o motivo e a causa da sua marginalização e a sua péssima imagem na sociedade, pois se não conseguem um trabalho digno para se manter em boas condições buscam outras formas para que isso se concretize, sendo de forma indireta a sociedade como um todo culpada por esses cidadãos em condições de vulnerabilidade, pois não lhes dão chances ou oportunidades para que consigam se estabilizar.Diante dessas informações a Câmara de deputados devem aprovar uma lei que exige que para a contratação de novos funcionários em empresas não necessite de comprovação de moradia fixa,também as prefeituras das cidades de todo o Brasil devem investir em campanhas solidárias de apoio para essas pessoas,através de postagens nas redes sociais sobre a importância do resgate desses indivíduos e a valorização deles como cidadãos.",,,,
"Hoje eu lembrei de você, lembrei de nós. Minha alma grita por socorro, mas meu coração finge que não sente. O engraçado é que foi a primeira vez que amei, mas quero que seja a última, pois a dor de te ver indo embora nunca mais quero sentir. Me pergunto se não era para ser meu, porque amei, mas não me arrependo. Foram momentos especiais. Triste hoje, pois também me lembra que acabou. Mas o que o destino me espera? A vida é realmente uma piada!!! Te amar dói, mas dói bem. Te ver ir me tirar do seu coração sem motivo e explicação, mas chorando no colo da minha mãe, lembrei que amar e deixar ir é assim. E me vejo me despedindo de você, de nós, com esta carta. Venho te dizer...",,,,
"Ao abrir o TikTok, percebe-se que a maioria dos vídeos recomendados seguem o mesmo padrão. Isso pode ser explicado pelo  efeito ""filtro bolha"", consequência que controla o acesso a informações e influencia o comportamento dos usuários. Essa manipulação afeta negativamente a liberdade de pensamento dos indivíduos e causa a dependência digital, já que os conteúdos são controlados para manter quem os consome on-line. Diante disso, é necessário discutir os riscos dessa situação para evitar impactos à autonomia e saúde mental da sociedade vítima do algoritmo.",,,,
De: emilly para:alguém O que fiz nas minhas férias minhas férias foi muito doida eu fui pro parque fui na barca fui no surf que passei mal aí comprei vários produtos de cabelo comprei um aplique de cabelo fui comprar meu material dia 5 voltou às aulas entrou vária pessoas novas na minha sala sim e esse ano já fiz amizades novas e ainda não sofri bulling aí teve o Carnaval da minha escola eu não fui pro Carnaval da escola mais fui pro Carnaval da rua da minha escola foi muito bom depois começou as provas eu só tirei nota baixa mais eu vou recuperar nos outros bimestre e irei passar de ano.,,,,
"Durante a abertura da COP 30, a ser realizada em 2025, no coração da Amazônia, afirmou-se que ""não há mais tempo para discursos vazios: o planeta clama por ação urgente e concreta."" Essa fala ecoa a gravidade da emergência climática que enfrentamos. A realização da conferência em solo amazônico reforça a importância de proteger o maior bioma tropical do mundo, essencial para a regulação do clima global. No entanto, para mitigar os efeitos da crise climática, é imprescindível enfrentar dois grandes desafios: o desmatamento desenfreado e a dependência de combustíveis fósseis.O Papa Francisco, em sua encíclica Laudato Si', adverte que ""nunca maltratamos e ferimos a nossa casa comum como nos últimos dois séculos."" Atento a esse alerta, é fundamental que se priorizem ações locais, como a recuperação de áreas degradadas, a promoção de fontes de energia limpa e a educação ambiental nas comunidades. Em escala global, torna-se necessário estabelecer acordos internacionais mais rígidos, com metas obrigatórias de redução de emissões e proteção das florestas tropicais, assegurando que as promessas não fiquem restritas às palavras.Greta Thunberg, jovem ativista sueca, resumiu a urgência da luta climática ao declarar: ""Nossa casa está em chamas."" De fato, cada atitude tomada em nível local, como a preservação de uma nascente ou a escolha por transportes sustentáveis, repercute em escala planetária. A consciência de que pequenas ações geram grandes impactos é vital para transformar o presente e garantir um futuro habitável para as próximas gerações.Diante desse cenário alarmante, propõe-se a criação do Programa Internacional Guardiões da Terra, coordenado pela ONU em parceria com ONGs e escolas públicas. A ação consistiria na formação de brigadas estudantis de monitoramento e recuperação ambiental, que atuariam em suas comunidades orientadas por especialistas. O programa seria executado por meio de oficinas práticas, uso de tecnologia de georreferenciamento e incentivo a projetos locais de reflorestamento. Assim, educaríamos e empoderaríamos as novas gerações, agindo de forma concreta para estancar a emergência climática.",,,,
